Kod teryt.;Nazwa jednostki;Liczba mieszkańców;Liczba wyborców ujętych w rejestrze wyborców
241702;gm. Czernichów;6562;5347
241703;gm. Gilowice;6122;4839
241704;gm. Jeleśnia;13535;10935
241705;gm. Koszarawa;2522;2069
241706;gm. Lipowa;10383;8286
241707;gm. Łękawica;4422;3554
241708;gm. Łodygowice;14134;11283
241709;gm. Milówka;10096;8043
241710;gm. Radziechowy-Wieprz;13071;10384
241711;gm. Rajcza;8853;7215
241712;gm. Ślemień;3564;2909
241713;gm. Świnna;8046;6561
241714;gm. Ujsoły;4594;3752
241715;gm. Węgierska Górka;15123;12009
246101;m. Bielsko-Biała;165548;136346
246201;m. Bytom;154660;128958
246301;m. Chorzów;102988;85223
246401;m. Częstochowa;220430;185832
246501;m. Dąbrowa Górnicza;118489;99965
246601;m. Gliwice;173812;145793
246701;m. Jastrzębie-Zdrój;87068;71487
246801;m. Jaworzno;90157;75308
246901;m. Katowice;280873;239196
247001;m. Mysłowice;71042;58589
247101;m. Piekary Śląskie;53881;44946
247201;m. Ruda Śląska;134585;110691
247301;m. Rybnik;133221;109042
247401;m. Siemianowice Śląskie;64905;54590
247501;m. Sosnowiec;198121;170093
247601;m. Świętochłowice;48286;40016
247701;m. Tychy;123553;102143
247801;m. Zabrze;164350;137164
247901;m. Żory;59127;47628
260101;gm. Busko-Zdrój;32195;26808
260102;gm. Gnojno;4605;3739
260103;gm. Nowy Korczyn;6234;5215
260104;gm. Pacanów;7657;6355
260105;gm. Solec-Zdrój;5148;4161
260106;gm. Stopnica;7820;6484
260107;gm. Tuczępy;3771;3085
260108;gm. Wiślica;5713;4772
260201;gm. Imielno;4546;3675
260202;gm. Jędrzejów;28469;23440
260203;gm. Małogoszcz;11755;9410
260204;gm. Nagłowice;5088;4159
260205;gm. Oksa;4742;3873
260206;gm. Sędziszów;12877;10628
260207;gm. Słupia (Jędrzejowska);4403;3651
260208;gm. Sobków;8562;6899
260209;gm. Wodzisław;7360;6109
260301;gm. Bejsce;4132;3499
260302;gm. Czarnocin;4015;3376
260303;gm. Kazimierza Wielka;16236;13739
260304;gm. Opatowiec;3554;3047
260305;gm. Skalbmierz;6711;5488
260401;gm. Bieliny;10306;8014
260402;gm. Bodzentyn;11662;9486
260403;gm. Chęciny;14885;12127
260404;gm. Chmielnik;11516;9319
260405;gm. Daleszyce;15575;12489
260406;gm. Górno;14008;10999
260407;gm. Łagów;7035;5685
260408;gm. Łopuszno;9124;7333
260409;gm. Masłów;10507;8464
260410;gm. Miedziana Góra;11152;8933
260411;gm. Mniów;9497;7509
260412;gm. Morawica;15408;12022
260413;gm. Nowa Słupia;9932;8197
260414;gm. Piekoszów;16155;12896
260415;gm. Pierzchnica;4809;3907
260416;gm. Raków;5845;4851
260417;gm. Sitkówka-Nowiny;7374;5857
260418;gm. Strawczyn;10526;8285
260419;gm. Zagnańsk;12788;10679
260501;gm. Fałków;4701;3899
260502;gm. Gowarczów;4760;3875
260503;gm. Końskie;36037;30169
260504;gm. Radoszyce;9198;7499
260505;gm. Ruda Maleniecka;3271;2732
260506;gm. Słupia (Konecka);3462;2809
260507;gm. Smyków;3882;3044
260508;gm. Stąporków;17595;14970
260601;gm. Baćkowice;5040;4135
260602;gm. Iwaniska;6963;5634
260603;gm. Lipnik;5544;4595
260604;gm. Opatów;11989;10050
260605;gm. Ożarów;11192;9120
260606;gm. Sadowie;4134;3424
260607;gm. Tarłów;5603;4708
260608;gm. Wojciechowice;4165;3507
260701;m. Ostrowiec Świętokrzyski;69445;58997
260702;gm. Bałtów;3765;3117
260703;gm. Bodzechów;13702;11282
260704;gm. Ćmielów;7569;6338
260705;gm. Kunów;9988;8309
260706;gm. Waśniów;7089;5673
260801;gm. Działoszyce;5245;4429
260802;gm. Kije;4557;3778
260803;gm. Michałów;4817;3904
260804;gm. Pińczów;21097;17614
260805;gm. Złota;4660;3932
260901;m. Sandomierz;23904;20195
260902;gm. Dwikozy;8925;7467
260903;gm. Klimontów;8397;6865
260904;gm. Koprzywnica;6921;5724
260905;gm. Łoniów;7609;6221
260906;gm. Obrazów;6670;5513
260907;gm. Samborzec;8739;7246
260908;gm. Wilczyce;3883;3194
260909;gm. Zawichost;4564;3772
261001;m. Skarżysko-Kamienna;46480;39824
261002;gm. Bliżyn;8345;7046
261003;gm. Łączna;5304;4306
261004;gm. Skarżysko Kościelne;6296;5193
261005;gm. Suchedniów;10431;8888
261101;m. Starachowice;49904;42554
261102;gm. Brody;11050;9043
261103;gm. Mirzec;8466;6928
261104;gm. Pawłów;15418;12209
261105;gm. Wąchock;7011;5904
261201;gm. Bogoria;8089;6430
261202;gm. Łubnice;4316;3530
261203;gm. Oleśnica;3996;3280
261204;gm. Osiek;7945;6389
261205;gm. Połaniec;12071;9910
261206;gm. Rytwiany;6408;5231
261207;gm. Staszów;26794;21758
261208;gm. Szydłów;4855;3991
261301;gm. Kluczewsko;5348;4288
261302;gm. Krasocin;10866;8675
261303;gm. Moskorzew;2854;2385
261304;gm. Radków;2547;2123
261305;gm. Secemin;4956;4113
261306;gm. Włoszczowa;19967;16473
266101;m. Kielce;191079;159550
280101;m. Bartoszyce;23975;19904
280102;m. Górowo Iławeckie;4175;3485
280103;gm. Bartoszyce;11100;8886
280104;gm. Bisztynek;6665;5403
280105;gm. Górowo Iławeckie;7108;5707
280106;gm. Sępopol;6556;5345
280201;m. Braniewo;16645;13651
280202;gm. Braniewo;6424;5036
280203;gm. Frombork;3757;3112
280204;gm. Lelkowo;3096;2531
280205;gm. Pieniężno;6691;5563
280206;gm. Płoskinia;2675;2085
280207;gm. Wilczęta;3064;2452
280301;m. Działdowo;21327;17364
280302;gm. Działdowo;10036;7526
280303;gm. Iłowo-Osada;7332;5749
280304;gm. Lidzbark;14737;11735
280305;gm. Płośnica;5962;4716
280306;gm. Rybno;7361;5755
280401;gm. Elbląg;7471;5833
280402;gm. Godkowo;3313;2663
280403;gm. Gronowo Elbląskie;5117;4025
280404;gm. Markusy;4206;3196
280405;gm. Milejewo;3331;2705
280406;gm. Młynary;4683;3719
280407;gm. Pasłęk;19514;15778
280408;gm. Rychliki;4000;3207
280409;gm. Tolkmicko;6644;5326
280501;m. Ełk;57401;46295
280502;gm. Ełk;11226;8747
280503;gm. Kalinowo;7095;5462
280504;gm. Prostki;7603;5936
280505;gm. Stare Juchy;4033;3156
280601;m. Giżycko;28772;23951
280604;gm. Giżycko;8345;6743
280605;gm. Kruklanki;3220;2559
280606;gm. Miłki;3929;3143
280608;gm. Ryn;5897;4850
280610;gm. Wydminy;6678;5305
280701;m. Iława;32252;26592
280702;m. Lubawa;9685;7613
280703;gm. Iława;12903;9783
280704;gm. Kisielice;6316;4923
280705;gm. Lubawa;10756;8240
280706;gm. Susz;13101;10079
280707;gm. Zalewo;7031;5662
280801;m. Kętrzyn;27467;23034
280802;gm. Barciany;6559;5345
280803;gm. Kętrzyn;8409;6689
280804;gm. Korsze;10231;8290
280805;gm. Reszel;7762;6540
280806;gm. Srokowo;4085;3330
280901;m. Lidzbark Warmiński;15647;13031
280902;gm. Kiwity;3449;2814
280903;gm. Lidzbark Warmiński;6828;5485
280904;gm. Lubomino;3722;2939
280905;gm. Orneta;12244;10019
281001;m. Mrągowo;21557;17814
281002;gm. Mikołajki;8266;6718
281003;gm. Mrągowo;7945;6339
281004;gm. Piecki;7894;6315
281005;gm. Sorkwity;4775;3740
281101;gm. Janowiec Kościelny;3361;2663
281102;gm. Janowo;2778;2193
281103;gm. Kozłowo;6343;4849
281104;gm. Nidzica;21135;17204
281201;m. Nowe Miasto Lubawskie;10786;8698
281202;gm. Biskupiec;9755;7648
281203;gm. Grodziczno;6489;4961
281204;gm. Kurzętnik;9139;7032
281205;gm. Nowe Miasto Lubawskie;8225;6327
281303;gm. Kowale Oleckie;5380;4193
281304;gm. Olecko;21460;17225
281305;gm. Świętajno;4116;3289
281306;gm. Wieliczki;3455;2744
281401;gm. Barczewo;16920;13575
281402;gm. Biskupiec;18784;15358
281403;gm. Dobre Miasto;15904;12905
281404;gm. Dywity;11100;8736
281405;gm. Gietrzwałd;6231;4960
281406;gm. Jeziorany;7930;6359
281407;gm. Jonkowo;7100;5569
281408;gm. Kolno;3390;2767
281409;gm. Olsztynek;13714;10919
281410;gm. Purda;8451;6772
281411;gm. Stawiguda;8178;6342
281412;gm. Świątki;4193;3289
281501;m. Ostróda;32893;27081
281502;gm. Dąbrówno;4375;3425
281503;gm. Grunwald;5695;4423
281504;gm. Łukta;4504;3542
281505;gm. Małdyty;6399;5140
281506;gm. Miłakowo;5665;4519
281507;gm. Miłomłyn;5111;4128
281508;gm. Morąg;24516;19760
281509;gm. Ostróda;15854;12427
281601;gm. Biała Piska;12206;9578
281602;gm. Orzysz;9334;7526
281603;gm. Pisz;27479;22109
281604;gm. Ruciane-Nida;8320;6967
281701;m. Szczytno;23437;19543
281702;gm. Dźwierzuty;6823;5447
281703;gm. Jedwabno;3802;3019
281704;gm. Pasym;5341;4282
281705;gm. Rozogi;5866;4614
281706;gm. Szczytno;12582;9681
281707;gm. Świętajno;6104;4872
281708;gm. Wielbark;6690;5199
281801;gm. Banie Mazurskie;4010;3313
