"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"=""280604""";"gm. Giżycko";"giżycki";"Olsztyn";8421;6799;6659;140;137;115;0;22;3;103;11;70;22;0;0
"=""280605""";"gm. Kruklanki";"giżycki";"Olsztyn";3169;2524;2499;25;25;20;0;5;0;36;4;27;5;0;0
"=""280606""";"gm. Miłki";"giżycki";"Olsztyn";3830;3081;3040;41;41;36;0;5;0;34;7;22;5;0;0
"=""280608""";"gm. Ryn";"giżycki";"Olsztyn";5639;4647;4610;37;37;34;1;2;0;59;14;43;2;0;0
"=""280610""";"gm. Wydminy";"giżycki";"Olsztyn";6315;5131;5019;112;112;80;4;28;0;91;16;47;28;0;0
"Powiat iławski";"";"";"";90413;71811;71441;370;368;244;50;74;2;839;321;444;74;0;0
"=""280701""";"m. Iława";"iławski";"Elbląg";31706;25981;25912;69;68;56;0;12;1;284;80;192;12;0;0
"=""280702""";"m. Lubawa";"iławski";"Elbląg";9840;7655;7623;32;32;23;1;8;0;107;48;51;8;0;0
"=""280703""";"gm. Iława";"iławski";"Elbląg";12711;9783;9718;65;64;52;2;10;1;77;21;46;10;0;0
"=""280704""";"gm. Kisielice";"iławski";"Elbląg";6093;4805;4749;56;56;28;2;26;0;70;14;30;26;0;0
"=""280705""";"gm. Lubawa";"iławski";"Elbląg";10692;8272;8257;15;15;15;0;0;0;50;21;29;0;0;0
"=""280706""";"gm. Susz";"iławski";"Elbląg";12621;9788;9752;36;36;24;5;7;0;182;122;53;7;0;0
"=""280707""";"gm. Zalewo";"iławski";"Elbląg";6750;5527;5430;97;97;46;40;11;0;69;15;43;11;0;0
"Powiat kętrzyński";"";"";"";61052;50531;50305;226;225;170;6;49;1;656;149;458;49;0;0
"=""280801""";"m. Kętrzyn";"kętrzyński";"Olsztyn";26161;21848;21816;32;32;21;2;9;0;303;69;225;9;0;0
"=""280802""";"gm. Barciany";"kętrzyński";"Olsztyn";6137;4951;4900;51;51;37;1;13;0;69;18;38;13;0;0
"=""280803""";"gm. Kętrzyn";"kętrzyński";"Olsztyn";8042;6471;6450;21;21;19;0;2;0;69;23;44;2;0;0
"=""280804""";"gm. Korsze";"kętrzyński";"Olsztyn";9605;7879;7840;39;38;25;3;10;1;91;25;56;10;0;0
"=""280805""";"gm. Reszel";"kętrzyński";"Olsztyn";7282;6211;6139;72;72;57;0;15;0;96;7;74;15;0;0
"=""280806""";"gm. Srokowo";"kętrzyński";"Olsztyn";3825;3171;3160;11;11;11;0;0;0;28;7;21;0;0;0
"Powiat lidzbarski";"";"";"";40199;32981;32732;249;248;180;12;56;1;412;94;262;56;0;0
"=""280901""";"m. Lidzbark Warmiński";"lidzbarski";"Elbląg";14901;12397;12351;46;46;39;5;2;0;154;34;118;2;0;0
"=""280902""";"gm. Kiwity";"lidzbarski";"Elbląg";3334;2717;2674;43;42;41;1;0;1;23;6;17;0;0;0
"=""280903""";"gm. Lidzbark Warmiński";"lidzbarski";"Elbląg";6657;5396;5353;43;43;32;3;8;0;53;13;32;8;0;0
"=""280904""";"gm. Lubomino";"lidzbarski";"Elbląg";3656;2848;2827;21;21;17;2;2;0;26;9;15;2;0;0
"=""280905""";"gm. Orneta";"lidzbarski";"Elbląg";11651;9623;9527;96;96;51;1;44;0;156;32;80;44;0;0
"Powiat mrągowski";"";"";"";48932;40177;39726;451;443;326;35;82;8;720;211;427;82;0;0
"=""281001""";"m. Mrągowo";"mrągowski";"Olsztyn";20866;17519;17435;84;83;52;14;17;1;357;133;207;17;0;0
"=""281002""";"gm. Mikołajki";"mrągowski";"Olsztyn";7873;6458;6363;95;94;67;0;27;1;121;36;58;27;0;0
"=""281003""";"gm. Mrągowo";"mrągowski";"Olsztyn";7927;6348;6264;84;82;60;14;8;2;90;15;67;8;0;0
"=""281004""";"gm. Piecki";"mrągowski";"Olsztyn";7594;6100;6029;71;67;53;3;11;4;87;16;60;11;0;0
"=""281005""";"gm. Sorkwity";"mrągowski";"Olsztyn";4672;3752;3635;117;117;94;4;19;0;65;11;35;19;0;0
"Powiat nidzicki";"";"";"";32195;26015;25824;191;191;135;0;56;0;355;85;214;56;0;0
"=""281101""";"gm. Janowiec Kościelny";"nidzicki";"Olsztyn";3234;2584;2516;68;68;50;0;18;0;40;8;14;18;0;0
"=""281102""";"gm. Janowo";"nidzicki";"Olsztyn";2684;2136;2127;9;9;8;0;1;0;22;5;16;1;0;0
"=""281103""";"gm. Kozłowo";"nidzicki";"Olsztyn";5949;4678;4639;39;39;36;0;3;0;59;17;39;3;0;0
"=""281104""";"gm. Nidzica";"nidzicki";"Olsztyn";20328;16617;16542;75;75;41;0;34;0;234;55;145;34;0;0
"Powiat nowomiejski";"";"";"";43414;34141;33914;227;226;186;18;22;1;349;99;228;22;0;0
"=""281201""";"m. Nowe Miasto Lubawskie";"nowomiejski";"Elbląg";10276;8382;8296;86;86;65;16;5;0;85;16;64;5;0;0
"=""281202""";"gm. Biskupiec";"nowomiejski";"Elbląg";9452;7487;7433;54;54;40;0;14;0;78;21;43;14;0;0
"=""281203""";"gm. Grodziczno";"nowomiejski";"Elbląg";6409;4960;4932;28;28;28;0;0;0;48;21;27;0;0;0
"=""281204""";"gm. Kurzętnik";"nowomiejski";"Elbląg";9048;6938;6909;29;29;27;2;0;0;73;28;45;0;0;0
"=""281205""";"gm. Nowe Miasto Lubawskie";"nowomiejski";"Elbląg";8229;6374;6344;30;29;26;0;3;1;65;13;49;3;0;0
"Powiat olecki";"";"";"";33117;26552;26347;205;203;162;4;37;2;383;82;264;37;0;0
"=""281303""";"gm. Kowale Oleckie";"olecki";"Olsztyn";4946;3944;3915;29;29;18;0;11;0;71;17;43;11;0;0
"=""281304""";"gm. Olecko";"olecki";"Olsztyn";20947;16813;16716;97;95;72;0;23;2;220;41;156;23;0;0
"=""281305""";"gm. Świętajno";"olecki";"Olsztyn";3903;3150;3097;53;53;46;4;3;0;48;9;36;3;0;0
"=""281306""";"gm. Wieliczki";"olecki";"Olsztyn";3321;2645;2619;26;26;26;0;0;0;44;15;29;0;0;0
"Powiat olsztyński";"";"";"";123520;98896;97647;1249;1241;1060;34;147;8;1296;422;727;147;0;0
"=""281401""";"gm. Barczewo";"olsztyński";"Olsztyn";17123;13687;13554;133;133;108;2;23;0;164;47;94;23;0;0
"=""281402""";"gm. Biskupiec";"olsztyński";"Olsztyn";18093;14913;14872;41;41;21;0;20;0;163;17;126;20;0;0
"=""281403""";"gm. Dobre Miasto";"olsztyński";"Olsztyn";15438;12535;12490;45;44;35;0;9;1;119;38;72;9;0;0
"=""281404""";"gm. Dywity";"olsztyński";"Olsztyn";11746;9299;9099;200;200;170;10;20;0;106;17;69;20;0;0
"=""281405""";"gm. Gietrzwałd";"olsztyński";"Olsztyn";6572;5175;4984;191;188;173;0;15;3;135;69;51;15;0;0
"=""281406""";"gm. Jeziorany";"olsztyński";"Olsztyn";7533;6085;6042;43;43;34;0;9;0;124;70;45;9;0;0
"=""281407""";"gm. Jonkowo";"olsztyński";"Olsztyn";7362;5837;5734;103;101;92;1;8;2;65;11;46;8;0;0
"=""281408""";"gm. Kolno";"olsztyński";"Olsztyn";3197;2619;2599;20;20;18;1;1;0;30;8;21;1;0;0
"=""281409""";"gm. Olsztynek";"olsztyński";"Olsztyn";13360;10796;10709;87;87;60;7;20;0;179;106;53;20;0;0
"=""281410""";"gm. Purda";"olsztyński";"Olsztyn";8563;6855;6675;180;179;159;4;16;1;86;14;56;16;0;0
"=""281411""";"gm. Stawiguda";"olsztyński";"Olsztyn";10516;7924;7754;170;169;156;8;5;1;95;17;73;5;0;0
"=""281412""";"gm. Świątki";"olsztyński";"Olsztyn";4017;3171;3135;36;36;34;1;1;0;30;8;21;1;0;0
"Powiat ostródzki";"";"";"";101559;82001;81129;872;864;607;72;185;8;1126;292;649;185;0;0
"=""281501""";"m. Ostróda";"ostródzki";"Elbląg";31426;25887;25721;166;165;108;7;50;1;371;74;247;50;0;0
"=""281502""";"gm. Dąbrówno";"ostródzki";"Elbląg";4190;3326;3269;57;57;51;2;4;0;43;14;25;4;0;0
"=""281503""";"gm. Grunwald";"ostródzki";"Elbląg";5527;4323;4261;62;59;39;1;19;3;53;9;25;19;0;0
"=""281504""";"gm. Łukta";"ostródzki";"Elbląg";4499;3595;3473;122;122;95;16;11;0;43;14;18;11;0;0
"=""281505""";"gm. Małdyty";"ostródzki";"Elbląg";6148;4977;4904;73;73;64;6;3;0;54;18;33;3;0;0
"=""281506""";"gm. Miłakowo";"ostródzki";"Elbląg";5381;4340;4302;38;38;25;1;12;0;74;21;41;12;0;0
"=""281507""";"gm. Miłomłyn";"ostródzki";"Elbląg";4940;4004;3933;71;68;52;1;15;3;54;13;26;15;0;0
"=""281508""";"gm. Morąg";"ostródzki";"Elbląg";23639;19066;18866;200;199;104;29;66;1;252;59;127;66;0;0
"=""281509""";"gm. Ostróda";"ostródzki";"Elbląg";15809;12483;12400;83;83;69;9;5;0;182;70;107;5;0;0
"Powiat piski";"";"";"";54995;44598;44349;249;247;185;0;62;2;549;127;360;62;0;0
"=""281601""";"gm. Biała Piska";"piski";"Olsztyn";11609;9226;9206;20;20;11;0;9;0;106;39;58;9;0;0
"=""281602""";"gm. Orzysz";"piski";"Olsztyn";8809;7150;7113;37;37;27;0;10;0;88;14;64;10;0;0
"=""281603""";"gm. Pisz";"piski";"Olsztyn";26777;21664;21557;107;106;82;0;24;1;231;53;154;24;0;0
"=""281604""";"gm. Ruciane-Nida";"piski";"Olsztyn";7800;6558;6473;85;84;65;0;19;1;124;21;84;19;0;0
"Powiat szczycieński";"";"";"";68862;55784;55229;555;552;458;3;91;3;755;175;489;91;0;0
"=""281701""";"m. Szczytno";"szczycieński";"Olsztyn";22264;18597;18493;104;104;78;0;26;0;342;87;229;26;0;0
"=""281702""";"gm. Dźwierzuty";"szczycieński";"Olsztyn";6573;5386;5295;91;91;79;1;11;0;40;5;24;11;0;0
"=""281703""";"gm. Jedwabno";"szczycieński";"Olsztyn";3720;3046;2975;71;71;60;2;9;0;35;6;20;9;0;0
"=""281704""";"gm. Pasym";"szczycieński";"Olsztyn";5225;4316;4237;79;79;58;0;21;0;66;11;34;21;0;0
"=""281705""";"gm. Rozogi";"szczycieński";"Olsztyn";5682;4517;4487;30;30;22;0;8;0;48;9;31;8;0;0
"=""281706""";"gm. Szczytno";"szczycieński";"Olsztyn";12927;10005;9907;98;96;88;0;8;2;105;22;75;8;0;0
"=""281707""";"gm. Świętajno";"szczycieński";"Olsztyn";5851;4773;4720;53;53;45;0;8;0;63;18;37;8;0;0
"=""281708""";"gm. Wielbark";"szczycieński";"Olsztyn";6620;5144;5115;29;28;28;0;0;1;56;17;39;0;0;0
"Powiat gołdapski";"";"";"";26126;20847;20725;122;121;86;10;25;1;257;50;182;25;0;0
"=""281801""";"gm. Banie Mazurskie";"gołdapski";"Olsztyn";3725;3107;3071;36;36;29;3;4;0;35;6;25;4;0;0
"=""281802""";"gm. Dubeninki";"gołdapski";"Olsztyn";2962;2366;2348;18;18;17;1;0;0;39;3;36;0;0;0
"=""281803""";"gm. Gołdap";"gołdapski";"Olsztyn";19439;15374;15306;68;67;40;6;21;1;183;41;121;21;0;0
"Powiat węgorzewski";"";"";"";22188;18135;17998;137;136;112;7;17;1;421;208;196;17;0;0
"=""281901""";"gm. Budry";"węgorzewski";"Olsztyn";2920;2375;2358;17;17;17;0;0;0;29;13;16;0;0;0
"=""281902""";"gm. Pozezdrze";"węgorzewski";"Olsztyn";3261;2671;2622;49;49;45;0;4;0;36;6;26;4;0;0
"=""281903""";"gm. Węgorzewo";"węgorzewski";"Olsztyn";16007;13089;13018;71;70;50;7;13;1;356;189;154;13;0;0
"Miasto na prawach powiatu";"";"";""
"=""286101""";"m. Elbląg";"Elbląg";"Elbląg";110327;91547;91180;367;365;206;0;159;2;1454;362;933;159;0;0
"Miasto na prawach powiatu";"";"";""
"=""286201""";"m. Olsztyn";"Olsztyn";"Olsztyn";157946;129340;128080;1260;1248;957;0;291;12;2473;383;1799;291;0;0
"Powiat chodzieski";"";"";"";45882;36843;36597;246;241;186;6;49;5;377;104;224;49;0;0
"=""300101""";"m. Chodzież";"chodzieski";"Piła";17807;14730;14637;93;93;71;0;22;0;178;40;116;22;0;0
"=""300102""";"gm. Budzyń";"chodzieski";"Piła";8367;6568;6537;31;31;25;4;2;0;44;20;22;2;0;0
"=""300103""";"gm. Chodzież";"chodzieski";"Piła";5943;4653;4617;36;36;27;2;7;0;55;24;24;7;0;0
"=""300104""";"gm. Margonin";"chodzieski";"Piła";6362;5008;4954;54;51;37;0;14;3;50;9;27;14;0;0
"=""300105""";"gm. Szamocin";"chodzieski";"Piła";7403;5884;5852;32;30;26;0;4;2;50;11;35;4;0;0
"Powiat czarnkowsko-trzcianecki";"";"";"";85435;68209;67768;441;440;358;1;81;1;796;291;424;81;0;0
"=""300201""";"m. Czarnków";"czarnkowsko-trzcianecki";"Piła";10483;8633;8558;75;75;67;0;8;0;103;8;87;8;0;0
"=""300202""";"gm. Czarnków";"czarnkowsko-trzcianecki";"Piła";11253;8929;8849;80;80;67;0;13;0;131;64;54;13;0;0
"=""300203""";"gm. Drawsko";"czarnkowsko-trzcianecki";"Piła";5842;4672;4649;23;23;21;0;2;0;27;4;21;2;0;0
"=""300204""";"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"Piła";8531;6913;6855;58;58;44;1;13;0;67;10;44;13;0;0
"=""300205""";"gm. Lubasz";"czarnkowsko-trzcianecki";"Piła";7630;5942;5876;66;65;53;0;12;1;66;10;44;12;0;0
"=""300206""";"gm. Połajewo";"czarnkowsko-trzcianecki";"Piła";6204;4857;4840;17;17;15;0;2;0;40;16;22;2;0;0
"=""300207""";"gm. Trzcianka";"czarnkowsko-trzcianecki";"Piła";23365;18626;18544;82;82;56;0;26;0;236;109;101;26;0;0
"=""300208""";"gm. Wieleń";"czarnkowsko-trzcianecki";"Piła";12127;9637;9597;40;40;35;0;5;0;126;70;51;5;0;0
"Powiat gnieźnieński";"";"";"";140813;112103;111266;837;835;740;3;92;2;1331;461;778;92;0;0
"=""300301""";"m. Gniezno";"gnieźnieński";"Konin";64986;52958;52683;275;273;227;0;46;2;707;228;433;46;0;0
"=""300302""";"gm. Czerniejewo";"gnieźnieński";"Konin";7200;5622;5560;62;62;45;0;17;0;73;18;38;17;0;0
"=""300303""";"gm. Gniezno";"gnieźnieński";"Konin";12135;9101;8913;188;188;186;0;2;0;37;15;20;2;0;0
"=""300304""";"gm. Kiszkowo";"gnieźnieński";"Konin";5338;4218;4190;28;28;27;0;1;0;46;10;35;1;0;0
"=""300305""";"gm. Kłecko";"gnieźnieński";"Konin";7451;5865;5836;29;29;20;1;8;0;55;11;36;8;0;0
"=""300306""";"gm. Łubowo";"gnieźnieński";"Konin";6489;4997;4924;73;73;72;1;0;0;42;15;27;0;0;0
"=""300307""";"gm. Mieleszyn";"gnieźnieński";"Konin";4002;3072;3039;33;33;29;0;4;0;80;51;25;4;0;0
"=""300308""";"gm. Niechanowo";"gnieźnieński";"Konin";5967;4588;4559;29;29;27;0;2;0;39;17;20;2;0;0
"=""300309""";"gm. Trzemeszno";"gnieźnieński";"Konin";13921;11010;10953;57;57;51;0;6;0;86;27;53;6;0;0
"=""300310""";"gm. Witkowo";"gnieźnieński";"Konin";13324;10672;10609;63;63;56;1;6;0;166;69;91;6;0;0
"Powiat gostyński";"";"";"";75173;59780;59599;181;180;152;3;25;1;486;216;245;25;0;0
"=""300401""";"gm. Borek Wielkopolski";"gostyński";"Leszno";7424;5927;5900;27;27;26;0;1;0;65;40;24;1;0;0
"=""300402""";"gm. Gostyń";"gostyński";"Leszno";27556;22069;22023;46;45;29;0;16;1;167;48;103;16;0;0
"=""300403""";"gm. Krobia";"gostyński";"Leszno";12899;10210;10196;14;14;13;1;0;0;134;87;47;0;0;0
"=""300404""";"gm. Pępowo";"gostyński";"Leszno";5960;4718;4690;28;28;24;1;3;0;23;10;10;3;0;0
"=""300405""";"gm. Piaski";"gostyński";"Leszno";8557;6751;6706;45;45;44;0;1;0;36;11;24;1;0;0
"=""300406""";"gm. Pogorzela";"gostyński";"Leszno";4988;3961;3956;5;5;1;1;3;0;29;10;16;3;0;0
"=""300407""";"gm. Poniec";"gostyński";"Leszno";7789;6144;6128;16;16;15;0;1;0;32;10;21;1;0;0
"Powiat grodziski";"";"";"";51086;39818;39654;164;163;113;16;34;1;244;80;130;34;0;0
"=""300501""";"gm. Granowo";"grodziski";"Poznań";5058;3916;3887;29;29;26;0;3;0;25;8;14;3;0;0
"=""300502""";"gm. Grodzisk Wielkopolski";"grodziski";"Poznań";19350;15244;15184;60;59;32;5;22;1;106;27;57;22;0;0
"=""300503""";"gm. Kamieniec";"grodziski";"Poznań";6625;5150;5138;12;12;11;0;1;0;30;15;14;1;0;0
"=""300504""";"gm. Rakoniewice";"grodziski";"Poznań";13082;10080;10032;48;48;33;10;5;0;51;20;26;5;0;0
"=""300505""";"gm. Wielichowo";"grodziski";"Poznań";6971;5428;5413;15;15;11;1;3;0;32;10;19;3;0;0
"Powiat jarociński";"";"";"";70596;56140;55986;154;152;107;2;43;2;611;285;283;43;0;0
"=""300601""";"gm. Jaraczewo";"jarociński";"Kalisz";8082;6379;6361;18;18;16;0;2;0;38;16;20;2;0;0
"=""300602""";"gm. Jarocin";"jarociński";"Kalisz";44887;35873;35798;75;73;46;2;25;2;339;110;204;25;0;0
"=""300603""";"gm. Kotlin";"jarociński";"Kalisz";7340;5644;5638;6;6;5;0;1;0;156;127;28;1;0;0
"=""300604""";"gm. Żerków";"jarociński";"Kalisz";10287;8244;8189;55;55;40;0;15;0;78;32;31;15;0;0
"Powiat kaliski";"";"";"";83135;66785;66423;362;360;314;6;40;2;439;145;254;40;0;0
"=""300701""";"gm. Blizanów";"kaliski";"Kalisz";10054;8023;7978;45;43;37;1;5;2;44;14;25;5;0;0
"=""300702""";"gm. Brzeziny";"kaliski";"Kalisz";5826;4663;4629;34;34;25;0;9;0;38;13;16;9;0;0
"=""300703""";"gm. Ceków-Kolonia";"kaliski";"Kalisz";4788;3843;3818;25;25;24;1;0;0;32;10;22;0;0;0
"=""300704""";"gm. Godziesze Wielkie";"kaliski";"Kalisz";9610;7571;7522;49;49;46;0;3;0;42;16;23;3;0;0
"=""300705""";"gm. Koźminek";"kaliski";"Kalisz";7558;6084;6066;18;18;17;0;1;0;37;11;25;1;0;0
"=""300706""";"gm. Lisków";"kaliski";"Kalisz";5222;4244;4231;13;13;13;0;0;0;25;9;16;0;0;0
"=""300707""";"gm. Mycielin";"kaliski";"Kalisz";4876;3953;3919;34;34;27;0;7;0;36;10;19;7;0;0
"=""300708""";"gm. Opatówek";"kaliski";"Kalisz";10665;8685;8653;32;32;29;3;0;0;67;22;45;0;0;0
"=""300709""";"gm. Stawiszyn";"kaliski";"Kalisz";7158;5800;5769;31;31;30;0;1;0;29;11;17;1;0;0
"=""300710""";"gm. Szczytniki";"kaliski";"Kalisz";7833;6279;6241;38;38;30;1;7;0;43;19;17;7;0;0
"=""300711""";"gm. Żelazków";"kaliski";"Kalisz";9545;7640;7597;43;43;36;0;7;0;46;10;29;7;0;0
"Powiat kępiński";"";"";"";55661;44537;44266;271;271;182;16;73;0;426;108;245;73;0;0
"=""300801""";"gm. Baranów";"kępiński";"Kalisz";8001;6304;6274;30;30;26;4;0;0;32;13;19;0;0;0
"=""300802""";"gm. Bralin";"kępiński";"Kalisz";6071;4766;4727;39;39;35;0;4;0;43;13;26;4;0;0
"=""300803""";"gm. Kępno";"kępiński";"Kalisz";23787;19235;19121;114;114;38;12;64;0;251;62;125;64;0;0
"=""300804""";"gm. Łęka Opatowska";"kępiński";"Kalisz";5329;4176;4152;24;24;23;0;1;0;33;8;24;1;0;0
"=""300805""";"gm. Perzów";"kępiński";"Kalisz";3766;3029;3007;22;22;22;0;0;0;12;1;11;0;0;0
"=""300806""";"gm. Rychtal";"kępiński";"Kalisz";3802;3093;3066;27;27;23;0;4;0;30;6;20;4;0;0
"=""300807""";"gm. Trzcinica";"kępiński";"Kalisz";4905;3934;3919;15;15;15;0;0;0;25;5;20;0;0;0
"Powiat kolski";"";"";"";86071;70050;69671;379;377;308;6;63;2;746;209;474;63;0;0
"=""300901""";"m. Koło";"kolski";"Konin";21112;17477;17389;88;88;63;1;24;0;298;78;196;24;0;0
"=""300902""";"gm. Babiak";"kolski";"Konin";7865;6406;6356;50;50;45;1;4;0;58;22;32;4;0;0
"=""300903""";"gm. Chodów";"kolski";"Konin";3101;2614;2608;6;6;6;0;0;0;20;9;11;0;0;0
"=""300904""";"gm. Dąbie";"kolski";"Konin";6306;5183;5160;23;22;15;1;6;1;51;14;31;6;0;0
"=""300905""";"gm. Grzegorzew";"kolski";"Konin";5694;4573;4532;41;41;35;1;5;0;34;9;20;5;0;0
"=""300906""";"gm. Kłodawa";"kolski";"Konin";12636;10403;10362;41;41;32;0;9;0;98;25;64;9;0;0
"=""300907""";"gm. Koło";"kolski";"Konin";7766;6176;6140;36;35;34;0;1;1;46;12;33;1;0;0
"=""300908""";"gm. Kościelec";"kolski";"Konin";6759;5389;5348;41;41;41;0;0;0;45;14;31;0;0;0
"=""300909""";"gm. Olszówka";"kolski";"Konin";4530;3665;3657;8;8;6;0;2;0;31;10;19;2;0;0
"=""300910""";"gm. Osiek Mały";"kolski";"Konin";6154;4820;4806;14;14;12;2;0;0;27;9;18;0;0;0
"=""300911""";"gm. Przedecz";"kolski";"Konin";4148;3344;3313;31;31;19;0;12;0;38;7;19;12;0;0
"Powiat koniński";"";"";"";129370;103521;102743;778;777;603;26;148;1;1011;320;543;148;0;0
"=""301001""";"gm. Golina";"koniński";"Konin";11997;9725;9642;83;83;57;2;24;0;95;25;46;24;0;0
"=""301002""";"gm. Grodziec";"koniński";"Konin";5235;4128;4100;28;28;19;0;9;0;44;6;29;9;0;0
"=""301003""";"gm. Kazimierz Biskupi";"koniński";"Konin";11391;9161;9105;56;55;55;0;0;1;87;25;62;0;0;0
"=""301004""";"gm. Kleczew";"koniński";"Konin";9801;7989;7934;55;55;32;8;15;0;55;10;30;15;0;0
"=""301005""";"gm. Kramsk";"koniński";"Konin";11194;8940;8885;55;55;45;0;10;0;55;20;25;10;0;0
"=""301006""";"gm. Krzymów";"koniński";"Konin";7997;6313;6265;48;48;46;2;0;0;44;18;26;0;0;0
"=""301007""";"gm. Rychwał";"koniński";"Konin";8229;6613;6541;72;72;51;2;19;0;83;21;43;19;0;0
"=""301008""";"gm. Rzgów";"koniński";"Konin";7226;5800;5775;25;25;22;0;3;0;42;9;30;3;0;0
"=""301009""";"gm. Skulsk";"koniński";"Konin";6130;4936;4858;78;78;59;4;15;0;60;14;31;15;0;0
"=""301010""";"gm. Sompolno";"koniński";"Konin";10477;8373;8350;23;23;19;0;4;0;68;32;32;4;0;0
"=""301011""";"gm. Stare Miasto";"koniński";"Konin";12260;9525;9455;70;70;66;1;3;0;88;18;67;3;0;0
"=""301012""";"gm. Ślesin";"koniński";"Konin";14010;11385;11303;82;82;67;5;10;0;161;91;60;10;0;0
"=""301013""";"gm. Wierzbinek";"koniński";"Konin";7243;5730;5678;52;52;30;2;20;0;73;21;32;20;0;0
"=""301014""";"gm. Wilczyn";"koniński";"Konin";6180;4903;4852;51;51;35;0;16;0;56;10;30;16;0;0
"Powiat kościański";"";"";"";77065;62046;61726;320;319;227;0;92;1;552;136;324;92;0;0
"=""301101""";"m. Kościan";"kościański";"Leszno";22650;18779;18637;142;141;69;0;72;1;218;32;114;72;0;0
"=""301102""";"gm. Czempiń";"kościański";"Leszno";11249;9059;8998;61;61;50;0;11;0;98;31;56;11;0;0
"=""301103""";"gm. Kościan";"kościański";"Leszno";15924;12625;12594;31;31;28;0;3;0;82;14;65;3;0;0
"=""301104""";"gm. Krzywiń";"kościański";"Leszno";9878;7851;7795;56;56;51;0;5;0;64;38;21;5;0;0
"=""301105""";"gm. Śmigiel";"kościański";"Leszno";17364;13732;13702;30;30;29;0;1;0;90;21;68;1;0;0
"Powiat krotoszyński";"";"";"";75949;60689;60505;184;183;117;18;48;1;538;200;290;48;0;0
"=""301201""";"m. Sulmierzyce";"krotoszyński";"Kalisz";2839;2242;2225;17;17;15;0;2;0;15;7;6;2;0;0
"=""301202""";"gm. Kobylin";"krotoszyński";"Kalisz";8046;6375;6346;29;28;26;1;1;1;34;8;25;1;0;0
"=""301203""";"gm. Koźmin Wielkopolski";"krotoszyński";"Kalisz";13229;10572;10559;13;13;11;0;2;0;86;31;53;2;0;0
"=""301204""";"gm. Krotoszyn";"krotoszyński";"Kalisz";39179;31653;31574;79;79;27;17;35;0;274;78;161;35;0;0
"=""301205""";"gm. Rozdrażew";"krotoszyński";"Kalisz";5207;4058;4049;9;9;6;0;3;0;21;10;8;3;0;0
"=""301206""";"gm. Zduny";"krotoszyński";"Kalisz";7449;5789;5752;37;37;32;0;5;0;108;66;37;5;0;0
"Powiat leszczyński";"";"";"";56530;43976;43593;383;381;325;6;50;2;310;104;156;50;0;0
"=""301301""";"gm. Krzemieniewo";"leszczyński";"Leszno";8317;6581;6553;28;27;22;0;5;1;41;12;24;5;0;0
"=""301302""";"gm. Lipno";"leszczyński";"Leszno";8218;6302;6146;156;156;144;5;7;0;53;15;31;7;0;0
"=""301303""";"gm. Osieczna";"leszczyński";"Leszno";9117;7195;7147;48;48;38;0;10;0;55;20;25;10;0;0
"=""301304""";"gm. Rydzyna";"leszczyński";"Leszno";9497;7392;7317;75;75;59;0;16;0;52;10;26;16;0;0
"=""301305""";"gm. Święciechowa";"leszczyński";"Leszno";7991;6200;6189;11;11;11;0;0;0;34;16;18;0;0;0
"=""301306""";"gm. Wijewo";"leszczyński";"Leszno";3806;2928;2894;34;33;21;1;11;1;28;12;5;11;0;0
"=""301307""";"gm. Włoszakowice";"leszczyński";"Leszno";9584;7378;7347;31;31;30;0;1;0;47;19;27;1;0;0
"Powiat międzychodzki";"";"";"";36144;28915;28518;397;395;352;2;41;2;387;142;204;41;0;0
"=""301401""";"gm. Chrzypsko Wielkie";"międzychodzki";"Poznań";3306;2632;2533;99;98;97;1;0;1;16;7;9;0;0;0
"=""301402""";"gm. Kwilcz";"międzychodzki";"Poznań";6357;5005;4867;138;138;130;0;8;0;47;6;33;8;0;0
"=""301403""";"gm. Międzychód";"międzychodzki";"Poznań";17841;14417;14318;99;98;74;1;23;1;251;109;119;23;0;0
"=""301404""";"gm. Sieraków";"międzychodzki";"Poznań";8640;6861;6800;61;61;51;0;10;0;73;20;43;10;0;0
"Powiat nowotomyski";"";"";"";74108;58191;57841;350;346;273;4;69;4;567;181;317;69;0;0
"=""301501""";"gm. Kuślin";"nowotomyski";"Poznań";5446;4276;4239;37;35;31;1;3;2;42;19;20;3;0;0
"=""301502""";"gm. Lwówek";"nowotomyski";"Poznań";9010;7116;7046;70;70;63;1;6;0;64;16;42;6;0;0
