"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"=""126301""";"m. Tarnów";"Tarnów";"Tarnów";104814;87503;86955;548;544;338;12;194;4;1465;282;989;194;0;0
"Powiat białobrzeski";"";"";"";33706;26690;26397;293;292;252;11;29;1;338;47;262;29;0;0
"=""140101""";"gm. Białobrzegi";"białobrzeski";"Radom";10169;8130;8084;46;45;33;0;12;1;138;16;110;12;0;0
"=""140102""";"gm. Promna";"białobrzeski";"Radom";5630;4490;4429;61;61;55;2;4;0;53;5;44;4;0;0
"=""140103""";"gm. Radzanów";"białobrzeski";"Radom";3898;3042;3005;37;37;35;0;2;0;32;6;24;2;0;0
"=""140104""";"gm. Stara Błotnica";"białobrzeski";"Radom";5493;4219;4167;52;52;44;3;5;0;25;2;18;5;0;0
"=""140105""";"gm. Stromiec";"białobrzeski";"Radom";5647;4493;4457;36;36;33;2;1;0;56;17;38;1;0;0
"=""140106""";"gm. Wyśmierzyce";"białobrzeski";"Radom";2869;2316;2255;61;61;52;4;5;0;34;1;28;5;0;0
"Powiat ciechanowski";"";"";"";87870;71693;71192;501;498;405;7;86;3;916;145;685;86;0;0
"=""140201""";"m. Ciechanów";"ciechanowski";"Ciechanów";42618;35201;35088;113;112;86;0;26;1;560;83;451;26;0;0
"=""140202""";"gm. Ciechanów";"ciechanowski";"Ciechanów";7076;5658;5630;28;28;26;0;2;0;47;8;37;2;0;0
"=""140203""";"gm. Glinojeck";"ciechanowski";"Ciechanów";7722;6210;6128;82;81;58;0;23;1;79;10;46;23;0;0
"=""140204""";"gm. Gołymin-Ośrodek";"ciechanowski";"Ciechanów";3883;3109;3074;35;35;25;6;4;0;33;6;23;4;0;0
"=""140205""";"gm. Grudusk";"ciechanowski";"Ciechanów";3601;2940;2931;9;9;6;0;3;0;28;2;23;3;0;0
"=""140206""";"gm. Ojrzeń";"ciechanowski";"Ciechanów";4351;3502;3432;70;70;64;0;6;0;38;12;20;6;0;0
"=""140207""";"gm. Opinogóra Górna";"ciechanowski";"Ciechanów";5964;4784;4764;20;20;17;0;3;0;38;7;28;3;0;0
"=""140208""";"gm. Regimin";"ciechanowski";"Ciechanów";5040;4075;3980;95;94;80;0;14;1;36;4;18;14;0;0
"=""140209""";"gm. Sońsk";"ciechanowski";"Ciechanów";7615;6214;6165;49;49;43;1;5;0;57;13;39;5;0;0
"Powiat garwoliński";"";"";"";109300;85685;84704;981;978;838;22;118;3;1158;172;868;118;0;0
"=""140301""";"m. Garwolin";"garwoliński";"Siedlce";17260;13457;13361;96;96;76;6;14;0;263;21;228;14;0;0
"=""140302""";"m. Łaskarzew";"garwoliński";"Siedlce";4826;3931;3844;87;87;54;0;33;0;75;7;35;33;0;0
"=""140303""";"gm. Borowie";"garwoliński";"Siedlce";5269;4209;4128;81;81;75;6;0;0;43;12;31;0;0;0
"=""140304""";"gm. Garwolin";"garwoliński";"Siedlce";13321;10094;10028;66;66;63;0;3;0;107;10;94;3;0;0
"=""140305""";"gm. Górzno";"garwoliński";"Siedlce";6563;5062;5036;26;26;20;1;5;0;45;5;35;5;0;0
"=""140306""";"gm. Łaskarzew";"garwoliński";"Siedlce";5426;4283;4259;24;24;23;1;0;0;31;5;26;0;0;0
"=""140307""";"gm. Maciejowice";"garwoliński";"Siedlce";7068;5751;5704;47;47;43;0;4;0;65;8;53;4;0;0
"=""140308""";"gm. Miastków Kościelny";"garwoliński";"Siedlce";4871;3838;3797;41;41;36;0;5;0;52;3;44;5;0;0
"=""140309""";"gm. Parysów";"garwoliński";"Siedlce";4231;3248;3157;91;91;90;0;1;0;20;6;13;1;0;0
"=""140310""";"gm. Pilawa";"garwoliński";"Siedlce";11010;8536;8395;141;141;108;1;32;0;112;16;64;32;0;0
"=""140311""";"gm. Sobolew";"garwoliński";"Siedlce";8285;6436;6393;43;43;37;3;3;0;84;12;69;3;0;0
"=""140312""";"gm. Trojanów";"garwoliński";"Siedlce";7423;5891;5850;41;41;37;0;4;0;117;48;65;4;0;0
"=""140313""";"gm. Wilga";"garwoliński";"Siedlce";5286;4284;4156;128;125;117;0;8;3;52;7;37;8;0;0
"=""140314""";"gm. Żelechów";"garwoliński";"Siedlce";8461;6665;6596;69;69;59;4;6;0;92;12;74;6;0;0
"Powiat gostyniński";"";"";"";44318;36643;36263;380;379;299;13;67;1;527;161;299;67;0;0
"=""140401""";"m. Gostynin";"gostyniński";"Płock";17613;14779;14722;57;57;35;5;17;0;231;53;161;17;0;0
"=""140402""";"gm. Gostynin";"gostyniński";"Płock";12095;9849;9716;133;132;107;3;22;1;119;37;60;22;0;0
"=""140403""";"gm. Pacyna";"gostyniński";"Płock";3566;2965;2873;92;92;81;1;10;0;69;30;29;10;0;0
"=""140404""";"gm. Sanniki";"gostyniński";"Płock";6067;4984;4937;47;47;29;2;16;0;64;23;25;16;0;0
"=""140405""";"gm. Szczawin Kośc.";"gostyniński";"Płock";4977;4066;4015;51;51;47;2;2;0;44;18;24;2;0;0
"Powiat grodziski";"";"";"";91697;71941;69589;2352;2329;2081;10;238;24;1261;93;930;238;1;0
"=""140501""";"m. Milanówek";"grodziski";"Warszawa";15849;12878;12346;532;523;481;0;42;9;261;22;197;42;0;0
"=""140502""";"m. Podkowa Leśna";"grodziski";"Warszawa";3874;3175;2881;294;288;268;0;20;7;103;0;83;20;1;0
"=""140503""";"gm. Baranów";"grodziski";"Warszawa";5313;4168;4058;110;110;106;1;3;0;39;5;31;3;0;0
"=""140504""";"gm. Grodzisk Mazowiecki";"grodziski";"Warszawa";45546;35272;34556;716;708;560;0;148;8;644;45;451;148;0;0
"=""140505""";"gm. Jaktorów";"grodziski";"Warszawa";12192;9541;9335;206;206;197;0;9;0;97;11;77;9;0;0
"=""140506""";"gm. Żabia Wola";"grodziski";"Warszawa";8923;6907;6413;494;494;469;9;16;0;117;10;91;16;0;0
"Powiat grójecki";"";"";"";97359;78432;76897;1535;1530;1303;28;199;5;1208;151;858;199;0;0
"=""140601""";"gm. Belsk Duży";"grójecki";"Radom";6478;5282;5230;52;51;50;0;1;1;66;7;58;1;0;0
"=""140602""";"gm. Błędów";"grójecki";"Radom";7481;6120;6073;47;47;44;2;1;0;37;5;31;1;0;0
"=""140603""";"gm. Chynów";"grójecki";"Radom";9888;7867;7636;231;231;206;7;18;0;97;15;64;18;0;0
"=""140604""";"gm. Goszczyn";"grójecki";"Radom";2998;2365;2238;127;127;115;1;11;0;37;2;24;11;0;0
"=""140605""";"gm. Grójec";"grójecki";"Radom";24884;19788;19357;431;427;325;8;94;4;370;40;236;94;0;0
"=""140606""";"gm. Jasieniec";"grójecki";"Radom";5376;4296;4226;70;70;56;1;13;0;46;4;29;13;0;0
"=""140607""";"gm. Mogielnica";"grójecki";"Radom";8758;7236;7130;106;106;97;0;9;0;73;16;48;9;0;0
"=""140608""";"gm. Nowe Miasto nad Pilicą";"grójecki";"Radom";7723;6479;6312;167;167;160;0;7;0;163;26;130;7;0;0
"=""140609""";"gm. Pniewy";"grójecki";"Radom";4847;3871;3675;196;196;178;5;13;0;68;3;52;13;0;0
"=""140611""";"gm. Warka";"grójecki";"Radom";18926;15128;15020;108;108;72;4;32;0;251;33;186;32;0;0
"Powiat kozienicki";"";"";"";60353;49741;48687;1054;1052;898;33;121;2;817;89;607;121;0;0
"=""140701""";"gm. Garbatka-Letnisko";"kozienicki";"Radom";5036;4229;4088;141;141;129;7;5;0;54;6;43;5;0;0
"=""140702""";"gm. Głowaczów";"kozienicki";"Radom";7331;5981;5798;183;182;160;6;16;1;79;8;55;16;0;0
"=""140703""";"gm. Gniewoszów";"kozienicki";"Radom";3909;3206;3162;44;44;35;1;8;0;32;6;18;8;0;0
"=""140704""";"gm. Grabów nad Pilicą";"kozienicki";"Radom";4010;3223;3032;191;191;174;7;10;0;56;4;42;10;0;0
"=""140705""";"gm. Kozienice";"kozienicki";"Radom";29125;24153;24014;139;139;88;3;48;0;480;49;383;48;0;0
"=""140706""";"gm. Magnuszew";"kozienicki";"Radom";6993;5677;5402;275;274;238;6;30;1;84;13;41;30;0;0
"=""140707""";"gm. Sieciechów";"kozienicki";"Radom";3949;3272;3191;81;81;74;3;4;0;32;3;25;4;0;0
"Powiat legionowski";"";"";"";113561;89062;85632;3430;3420;3140;0;280;11;1746;114;1352;280;1;0
"=""140801""";"m. Legionowo";"legionowski";"Warszawa";50796;40408;39850;558;555;465;0;90;3;944;58;796;90;0;0
"=""140802""";"gm. Jabłonna";"legionowski";"Warszawa";18521;14009;13258;751;749;709;0;40;2;246;10;196;40;0;0
"=""140803""";"gm. Nieporęt";"legionowski";"Warszawa";14508;11409;10561;848;846;802;0;44;2;197;14;139;44;0;0
"=""140804""";"gm. Serock";"legionowski";"Warszawa";14969;11852;11075;777;776;692;0;84;1;220;15;121;84;0;0
"=""140805""";"gm. Wieliszew";"legionowski";"Warszawa";14767;11384;10888;496;494;472;0;22;3;139;17;100;22;1;0
"Powiat lipski";"";"";"";34312;28439;28217;222;222;181;9;32;0;360;62;266;32;0;0
"=""140901""";"gm. Chotcza";"lipski";"Radom";2382;1974;1946;28;28;27;1;0;0;27;2;25;0;0;0
"=""140902""";"gm. Ciepielów";"lipski";"Radom";5666;4597;4573;24;24;23;1;0;0;54;7;47;0;0;0
"=""140903""";"gm. Lipsko";"lipski";"Radom";11001;9189;9143;46;46;36;0;10;0;137;31;96;10;0;0
