Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
141305;gm. Strzegowo;mławski;Ciechanów;7313;5930;5869;61
141306;gm. Stupsk;mławski;Ciechanów;4646;3756;3711;45
141307;gm. Szreńsk;mławski;Ciechanów;3981;3211;3166;45
141308;gm. Szydłowo;mławski;Ciechanów;4427;3580;3524;56
141309;gm. Wieczfnia Kościelna;mławski;Ciechanów;3839;3084;3052;32
141310;gm. Wiśniewo;mławski;Ciechanów;5106;4072;4037;35
Powiat nowodworski;;;;75953;61306;59285;2021
141401;m. Nowy Dwór Mazowiecki;nowodworski;Warszawa;26391;21275;20944;331
141402;gm. Czosnów;nowodworski;Warszawa;9978;8063;7398;665
141403;gm. Leoncin;nowodworski;Warszawa;5561;4482;4172;310
141404;gm. Nasielsk;nowodworski;Warszawa;19169;15336;15112;224
141405;gm. Pomiechówek;nowodworski;Warszawa;8965;7278;7055;223
141406;gm. Zakroczym;nowodworski;Warszawa;5889;4872;4604;268
Powiat ostrołęcki;;;;88609;69846;69098;748
141501;gm. Baranowo;ostrołęcki;Ostrołęka;6256;5075;5028;47
141502;gm. Czarnia;ostrołęcki;Ostrołęka;2441;1923;1910;13
141503;gm. Czerwin;ostrołęcki;Ostrołęka;4995;4024;3966;58
141504;gm. Goworowo;ostrołęcki;Ostrołęka;8196;6547;6459;88
141505;gm. Kadzidło;ostrołęcki;Ostrołęka;11197;8868;8819;49
141506;gm. Lelis;ostrołęcki;Ostrołęka;9934;7608;7527;81
141507;gm. Łyse;ostrołęcki;Ostrołęka;8335;6518;6490;28
141508;gm. Myszyniec;ostrołęcki;Ostrołęka;10300;8154;8092;62
141509;gm. Olszewo-Borki;ostrołęcki;Ostrołęka;10850;8551;8403;148
141510;gm. Rzekuń;ostrołęcki;Ostrołęka;11426;8818;8693;125
141511;gm. Troszyn;ostrołęcki;Ostrołęka;4679;3760;3711;49
Powiat ostrowski;;;;69400;56651;56015;638
141601;m. Ostrów Mazowiecka;ostrowski;Ostrołęka;20973;17246;17124;122
141602;gm. Andrzejewo;ostrowski;Ostrołęka;3981;3258;3198;64
141603;gm. Boguty-Pianki;ostrowski;Ostrołęka;2465;2036;2018;18
141604;gm. Brok;ostrowski;Ostrołęka;2693;2238;2175;63
141605;gm. Małkinia Górna;ostrowski;Ostrołęka;11185;9161;9095;64
141606;gm. Nur;ostrowski;Ostrołęka;2612;2210;2171;39
141607;gm. Ostrów Mazowiecka;ostrowski;Ostrołęka;12596;10092;9987;105
141608;gm. Stary Lubotyń;ostrowski;Ostrołęka;3685;2892;2869;23
141609;gm. Szulborze Wielkie;ostrowski;Ostrołęka;1609;1310;1292;18
141610;gm. Wąsewo;ostrowski;Ostrołęka;4145;3360;3306;54
141611;gm. Zaręby Kościelne;ostrowski;Ostrołęka;3456;2848;2780;68
Powiat otwocki;;;;119545;94899;93112;1787
141701;m. Józefów;otwocki;Warszawa;19702;15346;15020;326
141702;m. Otwock;otwocki;Warszawa;40973;33364;32773;591
141703;gm. Celestynów;otwocki;Warszawa;11455;9107;8983;124
141704;gm. Karczew;otwocki;Warszawa;15222;12291;12142;149
141705;gm. Kołbiel;otwocki;Warszawa;8202;6417;6325;92
141706;gm. Osieck;otwocki;Warszawa;3716;2872;2838;34
141707;gm. Sobienie-Jeziory;otwocki;Warszawa;6337;5037;4972;65
141708;gm. Wiązowna;otwocki;Warszawa;13938;10465;10059;406
Powiat piaseczyński;;;;185155;142880;137903;4977
141801;gm. Góra Kalwaria;piaseczyński;Warszawa;26322;20960;20502;458
141802;gm. Konstancin-Jeziorna;piaseczyński;Warszawa;23115;18857;18165;692
141803;gm. Lesznowola;piaseczyński;Warszawa;31688;22665;21705;960
141804;gm. Piaseczno;piaseczyński;Warszawa;80872;62226;60119;2107
141805;gm. Prażmów;piaseczyński;Warszawa;11643;9082;8694;388
141806;gm. Tarczyn;piaseczyński;Warszawa;11515;9090;8718;372
Powiat płocki;;;;108295;87482;86274;1208
141901;gm. Bielsk;płocki;Płock;8850;7057;6943;114
141902;gm. Bodzanów;płocki;Płock;7927;6411;6332;79
141903;gm. Brudzeń Duży;płocki;Płock;8128;6496;6435;61
141904;gm. Bulkowo;płocki;Płock;5386;4374;4322;52
141905;gm. Drobin;płocki;Płock;7506;6009;5948;61
141906;gm. Gąbin;płocki;Płock;10828;8854;8799;55
141907;gm. Łąck;płocki;Płock;5317;4370;4246;124
141908;gm. Mała Wieś;płocki;Płock;5708;4675;4613;62
141909;gm. Nowy Duninów;płocki;Płock;3870;3152;3099;53
141910;gm. Radzanowo;płocki;Płock;8367;6719;6576;143
141911;gm. Słubice;płocki;Płock;4286;3498;3472;26
141912;gm. Słupno;płocki;Płock;8262;6586;6351;235
141913;gm. Stara Biała;płocki;Płock;11622;9299;9261;38
141914;gm. Staroźreby;płocki;Płock;6935;5633;5581;52
141915;gm. Wyszogród;płocki;Płock;5303;4349;4296;53
Powiat płoński;;;;83339;67614;66712;902
142001;m. Płońsk;płoński;Ciechanów;20296;16572;16465;107
142002;m. Raciąż;płoński;Ciechanów;4084;3398;3283;115
142003;gm. Baboszewo;płoński;Ciechanów;7723;6225;6164;61
142004;gm. Czerwińsk nad Wisłą;płoński;Ciechanów;7364;5948;5873;75
142005;gm. Dzierzążnia;płoński;Ciechanów;3522;2895;2854;41
142006;gm. Joniec;płoński;Ciechanów;2692;2182;2121;61
142007;gm. Naruszewo;płoński;Ciechanów;6117;4919;4859;60
142008;gm. Nowe Miasto;płoński;Ciechanów;4522;3680;3600;80
142009;gm. Płońsk;płoński;Ciechanów;8070;6460;6393;67
142010;gm. Raciąż;płoński;Ciechanów;7771;6302;6263;39
142011;gm. Sochocin;płoński;Ciechanów;5666;4585;4471;114
142012;gm. Załuski;płoński;Ciechanów;5512;4448;4366;82
Powiat pruszkowski;;;;159814;125634;122050;3582
142101;m. Piastów;pruszkowski;Warszawa;20800;16941;16713;228
142102;m. Pruszków;pruszkowski;Warszawa;57558;45275;44611;664
142103;gm. Brwinów;pruszkowski;Warszawa;25839;20273;19554;717
142104;gm. Michałowice;pruszkowski;Warszawa;18157;14237;13799;438
142105;gm. Nadarzyn;pruszkowski;Warszawa;15822;11961;10966;995
142106;gm. Raszyn;pruszkowski;Warszawa;21638;16947;16407;540
Powiat przasnyski;;;;50251;39979;39689;290
142201;m. Przasnysz;przasnyski;Ciechanów;16006;12907;12825;82
142202;gm. Chorzele;przasnyski;Ciechanów;9720;7671;7632;39
142203;gm. Czernice Borowe;przasnyski;Ciechanów;3645;2911;2889;22
142204;gm. Jednorożec;przasnyski;Ciechanów;6935;5494;5451;43
142205;gm. Krasne;przasnyski;Ciechanów;3447;2772;2759;13
142206;gm. Krzynowłoga Mała;przasnyski;Ciechanów;3456;2694;2631;63
142207;gm. Przasnysz;przasnyski;Ciechanów;7042;5530;5502;28
Powiat przysuski;;;;40670;33452;32973;479
142301;gm. Borkowice;przysuski;Radom;4175;3452;3380;72
142302;gm. Gielniów;przysuski;Radom;4422;3643;3567;76
142303;gm. Klwów;przysuski;Radom;3327;2685;2635;50
142304;gm. Odrzywół;przysuski;Radom;3578;3020;2954;66
142305;gm. Potworów;przysuski;Radom;4160;3312;3282;30
142306;gm. Przysucha;przysuski;Radom;11521;9694;9624;70
142307;gm. Rusinów;przysuski;Radom;4157;3411;3375;36
142308;gm. Wieniawa;przysuski;Radom;5330;4235;4156;79
Powiat pułtuski;;;;50286;40281;39558;723
142401;gm. Gzy;pułtuski;Ostrołęka;3651;2927;2903;24
142402;gm. Obryte;pułtuski;Ostrołęka;4641;3750;3654;96
142403;gm. Pokrzywnica;pułtuski;Ostrołęka;5074;4014;3873;141
142404;gm. Pułtusk;pułtuski;Ostrołęka;23295;18764;18544;220
142405;gm. Świercze;pułtuski;Ostrołęka;4662;3752;3640;112
142406;gm. Winnica;pułtuski;Ostrołęka;4128;3204;3177;27
142407;gm. Zatory;pułtuski;Ostrołęka;4835;3870;3767;103
Powiat radomski;;;;151006;119733;118268;1465
142501;m. Pionki;radomski;Radom;16350;13948;13882;66
142502;gm. Gózd;radomski;Radom;9317;7152;7033;119
